Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Red Sox&dh=0"">2016-10-02</a>",BOS,TOR,3,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-10-01&team=Red Sox&dh=0"">2016-10-01</a>",BOS,TOR,4,RF,1,4,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-30&team=Red Sox&dh=0"">2016-09-30</a>",BOS,TOR,3,RF,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-28&team=Red Sox&dh=0"">2016-09-28</a>",BOS,@NYY,4,RF,1,4,4,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-27&team=Red Sox&dh=0"">2016-09-27</a>",BOS,@NYY,4,RF,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-25&team=Red Sox&dh=0"">2016-09-25</a>",BOS,@TBR,4,RF,1,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-24&team=Red Sox&dh=0"">2016-09-24</a>",BOS,@TBR,4,RF,1,3,4,1,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0.333
"<a href=""wins.aspx?date=2016-09-23&team=Red Sox&dh=0"">2016-09-23</a>",BOS,@TBR,4,RF,1,4,5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-22&team=Red Sox&dh=0"">2016-09-22</a>",BOS,@BAL,3,RF,1,3,5,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0.333
"<a href=""wins.aspx?date=2016-09-21&team=Red Sox&dh=0"">2016-09-21</a>",BOS,@BAL,4,RF,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.667
"<a href=""wins.aspx?date=2016-09-20&team=Red Sox&dh=0"">2016-09-20</a>",BOS,@BAL,1,RF,1,5,5,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-19&team=Red Sox&dh=0"">2016-09-19</a>",BOS,@BAL,4,RF,1,2,4,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0.5
"<a href=""wins.aspx?date=2016-09-18&team=Red Sox&dh=0"">2016-09-18</a>",BOS,NYY,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-17&team=Red Sox&dh=0"">2016-09-17</a>",BOS,NYY,4,RF,1,4,4,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-16&team=Red Sox&dh=0"">2016-09-16</a>",BOS,NYY,4,RF,1,4,4,2,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0.5
"<a href=""wins.aspx?date=2016-09-15&team=Red Sox&dh=0"">2016-09-15</a>",BOS,NYY,4,RF,1,5,5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4
