Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Dodgers&dh=0"">2016-10-02</a>",LAD,@SFG,3,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-10-01&team=Dodgers&dh=0"">2016-10-01</a>",LAD,@SFG,3,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-30&team=Dodgers&dh=0"">2016-09-30</a>",LAD,@SFG,3,SS,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-28&team=Dodgers&dh=0"">2016-09-28</a>",LAD,@SDP,3,SS,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-27&team=Dodgers&dh=0"">2016-09-27</a>",LAD,@SDP,2,SS,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-25&team=Dodgers&dh=0"">2016-09-25</a>",LAD,COL,3,SS,1,5,5,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-24&team=Dodgers&dh=0"">2016-09-24</a>",LAD,COL,2,SS,1,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-23&team=Dodgers&dh=0"">2016-09-23</a>",LAD,COL,2,SS,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-22&team=Dodgers&dh=0"">2016-09-22</a>",LAD,COL,3,SS,1,4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-09-21&team=Dodgers&dh=0"">2016-09-21</a>",LAD,SFG,2,SS,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-09-20&team=Dodgers&dh=0"">2016-09-20</a>",LAD,SFG,2,SS,1,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-19&team=Dodgers&dh=0"">2016-09-19</a>",LAD,SFG,3,SS,1,4,4,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-18&team=Dodgers&dh=0"">2016-09-18</a>",LAD,@ARI,3,SS,1,5,6,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-17&team=Dodgers&dh=0"">2016-09-17</a>",LAD,@ARI,2,SS,1,4,5,2,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-16&team=Dodgers&dh=0"">2016-09-16</a>",LAD,@ARI,2,SS,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-15&team=Dodgers&dh=0"">2016-09-15</a>",LAD,@ARI,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-14&team=Dodgers&dh=0"">2016-09-14</a>",LAD,@NYY,2,SS,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"<a href=""wins.aspx?date=2016-09-13&team=Dodgers&dh=0"">2016-09-13</a>",LAD,@NYY,3,SS,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-12&team=Dodgers&dh=0"">2016-09-12</a>",LAD,@NYY,2,SS,1,5,5,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-11&team=Dodgers&dh=0"">2016-09-11</a>",LAD,@MIA,3,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-10&team=Dodgers&dh=0"">2016-09-10</a>",LAD,@MIA,2,SS,1,4,4,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-09&team=Dodgers&dh=0"">2016-09-09</a>",LAD,@MIA,2,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-07&team=Dodgers&dh=0"">2016-09-07</a>",LAD,ARI,3,SS,1,4,4,2,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-06&team=Dodgers&dh=0"">2016-09-06</a>",LAD,ARI,2,SS,1,4,4,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-05&team=Dodgers&dh=0"">2016-09-05</a>",LAD,ARI,2,SS,1,5,5,3,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-04&team=Dodgers&dh=0"">2016-09-04</a>",LAD,SDP,8,PH-SS,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-03&team=Dodgers&dh=0"">2016-09-03</a>",LAD,SDP,2,SS,1,3,4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-02&team=Dodgers&dh=0"">2016-09-02</a>",LAD,SDP,2,SS,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-08-31&team=Dodgers&dh=2"">2016-08-31</a>",LAD,@COL,2,SS,1,4,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-31&team=Dodgers&dh=1"">2016-08-31</a>",LAD,@COL,2,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-29&team=Dodgers&dh=0"">2016-08-29</a>",LAD,@COL,3,SS,1,2,5,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-28&team=Dodgers&dh=0"">2016-08-28</a>",LAD,CHC,2,SS,1,2,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
