Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Mariners&dh=0"">2016-10-02</a>",SEA,OAK,3,DH,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-10-01&team=Mariners&dh=0"">2016-10-01</a>",SEA,OAK,3,2B,1,5,6,2,1,0,0,1,2,3,1,1,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-30&team=Mariners&dh=0"">2016-09-30</a>",SEA,OAK,3,2B,1,4,4,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-29&team=Mariners&dh=0"">2016-09-29</a>",SEA,OAK,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-28&team=Mariners&dh=0"">2016-09-28</a>",SEA,@HOU,3,2B,1,5,6,1,0,0,0,1,2,3,1,1,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-27&team=Mariners&dh=0"">2016-09-27</a>",SEA,@HOU,3,2B,1,4,4,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-26&team=Mariners&dh=0"">2016-09-26</a>",SEA,@HOU,3,2B,1,4,6,3,0,1,0,2,2,2,2,1,1,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-25&team=Mariners&dh=0"">2016-09-25</a>",SEA,@MIN,3,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-24&team=Mariners&dh=0"">2016-09-24</a>",SEA,@MIN,3,2B,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-23&team=Mariners&dh=0"">2016-09-23</a>",SEA,@MIN,3,2B,1,5,5,4,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-09-21&team=Mariners&dh=0"">2016-09-21</a>",SEA,TOR,3,2B,1,4,6,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-20&team=Mariners&dh=0"">2016-09-20</a>",SEA,TOR,3,2B,1,4,4,2,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0.5
