Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-01&team=Astros&dh=0"">2016-10-01</a>",HOU,@LAA,4,SS,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-30&team=Astros&dh=0"">2016-09-30</a>",HOU,@LAA,4,SS,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-28&team=Astros&dh=0"">2016-09-28</a>",HOU,SEA,4,SS,1,4,4,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-27&team=Astros&dh=0"">2016-09-27</a>",HOU,SEA,4,SS,1,4,4,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-09-26&team=Astros&dh=0"">2016-09-26</a>",HOU,SEA,4,SS,1,5,5,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-25&team=Astros&dh=0"">2016-09-25</a>",HOU,LAA,4,SS,1,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-24&team=Astros&dh=0"">2016-09-24</a>",HOU,LAA,4,SS,1,2,4,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-23&team=Astros&dh=0"">2016-09-23</a>",HOU,LAA,4,SS,1,3,4,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-22&team=Astros&dh=0"">2016-09-22</a>",HOU,LAA,4,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-21&team=Astros&dh=0"">2016-09-21</a>",HOU,@OAK,4,SS,1,4,4,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5
