Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Giants&dh=0"">2016-10-02</a>",SFG,LAD,5,SS,1,4,5,1,1,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0.25
"<a href=""wins.aspx?date=2016-10-01&team=Giants&dh=0"">2016-10-01</a>",SFG,LAD,6,SS,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-30&team=Giants&dh=0"">2016-09-30</a>",SFG,LAD,6,SS,1,4,5,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-29&team=Giants&dh=0"">2016-09-29</a>",SFG,COL,5,SS,1,5,5,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-28&team=Giants&dh=0"">2016-09-28</a>",SFG,COL,5,SS,1,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-27&team=Giants&dh=0"">2016-09-27</a>",SFG,COL,5,SS,1,5,5,4,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-09-25&team=Giants&dh=0"">2016-09-25</a>",SFG,@SDP,7,SS,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-20&team=Giants&dh=0"">2016-09-20</a>",SFG,@LAD,6,SS,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-09-19&team=Giants&dh=0"">2016-09-19</a>",SFG,@LAD,6,SS,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-18&team=Giants&dh=0"">2016-09-18</a>",SFG,STL,3,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-17&team=Giants&dh=0"">2016-09-17</a>",SFG,STL,6,SS,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-16&team=Giants&dh=0"">2016-09-16</a>",SFG,STL,6,SS,1,3,4,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0.333
"<a href=""wins.aspx?date=2016-09-15&team=Giants&dh=0"">2016-09-15</a>",SFG,STL,6,SS,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-14&team=Giants&dh=0"">2016-09-14</a>",SFG,SDP,4,SS,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-13&team=Giants&dh=0"">2016-09-13</a>",SFG,SDP,5,SS,1,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-12&team=Giants&dh=0"">2016-09-12</a>",SFG,SDP,4,SS,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-11&team=Giants&dh=0"">2016-09-11</a>",SFG,@ARI,4,SS,1,3,4,1,1,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0.333
"<a href=""wins.aspx?date=2016-09-10&team=Giants&dh=0"">2016-09-10</a>",SFG,@ARI,4,SS,1,5,5,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-09&team=Giants&dh=0"">2016-09-09</a>",SFG,@ARI,4,SS,1,5,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-07&team=Giants&dh=0"">2016-09-07</a>",SFG,@COL,7,SS,1,4,4,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-06&team=Giants&dh=0"">2016-09-06</a>",SFG,@COL,5,SS,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-05&team=Giants&dh=0"">2016-09-05</a>",SFG,@COL,3,SS,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-04&team=Giants&dh=0"">2016-09-04</a>",SFG,@CHC,9,PH-SS,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-03&team=Giants&dh=0"">2016-09-03</a>",SFG,@CHC,5,SS,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.25
"<a href=""wins.aspx?date=2016-09-02&team=Giants&dh=0"">2016-09-02</a>",SFG,@CHC,5,SS,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-01&team=Giants&dh=0"">2016-09-01</a>",SFG,@CHC,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-31&team=Giants&dh=0"">2016-08-31</a>",SFG,ARI,4,SS,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-30&team=Giants&dh=0"">2016-08-30</a>",SFG,ARI,4,SS,1,3,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"<a href=""wins.aspx?date=2016-08-28&team=Giants&dh=0"">2016-08-28</a>",SFG,ATL,4,SS,1,5,5,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-08-27&team=Giants&dh=0"">2016-08-27</a>",SFG,ATL,4,SS,1,4,4,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-26&team=Giants&dh=0"">2016-08-26</a>",SFG,ATL,4,SS,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-25&team=Giants&dh=0"">2016-08-25</a>",SFG,@LAD,5,SS,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-24&team=Giants&dh=0"">2016-08-24</a>",SFG,@LAD,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-23&team=Giants&dh=0"">2016-08-23</a>",SFG,@LAD,5,SS,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-21&team=Giants&dh=0"">2016-08-21</a>",SFG,NYM,4,SS,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-08-20&team=Giants&dh=0"">2016-08-20</a>",SFG,NYM,5,SS,1,2,4,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-19&team=Giants&dh=0"">2016-08-19</a>",SFG,NYM,5,SS,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-18&team=Giants&dh=0"">2016-08-18</a>",SFG,NYM,5,SS,1,4,5,3,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-08-17&team=Giants&dh=0"">2016-08-17</a>",SFG,PIT,5,SS,1,5,5,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-16&team=Giants&dh=0"">2016-08-16</a>",SFG,PIT,5,SS,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-15&team=Giants&dh=0"">2016-08-15</a>",SFG,PIT,4,SS,1,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-14&team=Giants&dh=0"">2016-08-14</a>",SFG,BAL,6,SS,1,4,5,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-13&team=Giants&dh=0"">2016-08-13</a>",SFG,BAL,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-12&team=Giants&dh=0"">2016-08-12</a>",SFG,BAL,5,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-10&team=Giants&dh=0"">2016-08-10</a>",SFG,@MIA,5,SS,1,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-08-09&team=Giants&dh=0"">2016-08-09</a>",SFG,@MIA,4,SS,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-08&team=Giants&dh=0"">2016-08-08</a>",SFG,@MIA,5,SS,1,8,8,7,5,1,1,0,1,2,0,0,1,0,0,0,0,1,0,0.875
