Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Blue Jays&dh=0"">2016-10-02</a>",TOR,@BOS,2,3B,1,4,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-10-01&team=Blue Jays&dh=0"">2016-10-01</a>",TOR,@BOS,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-30&team=Blue Jays&dh=0"">2016-09-30</a>",TOR,@BOS,2,3B,1,4,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-29&team=Blue Jays&dh=0"">2016-09-29</a>",TOR,BAL,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-28&team=Blue Jays&dh=0"">2016-09-28</a>",TOR,BAL,2,3B,1,3,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-27&team=Blue Jays&dh=0"">2016-09-27</a>",TOR,BAL,2,3B,1,2,4,2,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-09-26&team=Blue Jays&dh=0"">2016-09-26</a>",TOR,NYY,2,3B,1,3,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-25&team=Blue Jays&dh=0"">2016-09-25</a>",TOR,NYY,2,3B,1,3,5,1,0,1,0,0,1,0,2,1,1,0,0,0,1,1,0,0.333
"<a href=""wins.aspx?date=2016-09-24&team=Blue Jays&dh=0"">2016-09-24</a>",TOR,NYY,2,3B,1,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-23&team=Blue Jays&dh=0"">2016-09-23</a>",TOR,NYY,2,3B,1,4,5,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-21&team=Blue Jays&dh=0"">2016-09-21</a>",TOR,@SEA,2,3B,1,5,5,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-20&team=Blue Jays&dh=0"">2016-09-20</a>",TOR,@SEA,2,3B,1,4,5,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-19&team=Blue Jays&dh=0"">2016-09-19</a>",TOR,@SEA,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-18&team=Blue Jays&dh=0"">2016-09-18</a>",TOR,@LAA,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-09-17&team=Blue Jays&dh=0"">2016-09-17</a>",TOR,@LAA,2,3B,1,4,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-16&team=Blue Jays&dh=0"">2016-09-16</a>",TOR,@LAA,2,DH,1,2,5,1,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-15&team=Blue Jays&dh=0"">2016-09-15</a>",TOR,@LAA,2,DH,1,3,5,3,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-09-11&team=Blue Jays&dh=0"">2016-09-11</a>",TOR,BOS,2,3B,1,3,5,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-09-10&team=Blue Jays&dh=0"">2016-09-10</a>",TOR,BOS,2,3B,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-09&team=Blue Jays&dh=0"">2016-09-09</a>",TOR,BOS,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-07&team=Blue Jays&dh=0"">2016-09-07</a>",TOR,@NYY,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-06&team=Blue Jays&dh=0"">2016-09-06</a>",TOR,@NYY,2,3B,1,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-05&team=Blue Jays&dh=0"">2016-09-05</a>",TOR,@NYY,3,3B,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-04&team=Blue Jays&dh=0"">2016-09-04</a>",TOR,@TBR,2,3B,1,3,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-03&team=Blue Jays&dh=0"">2016-09-03</a>",TOR,@TBR,2,3B,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-02&team=Blue Jays&dh=0"">2016-09-02</a>",TOR,@TBR,2,3B,1,4,4,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-31&team=Blue Jays&dh=0"">2016-08-31</a>",TOR,@BAL,2,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-30&team=Blue Jays&dh=0"">2016-08-30</a>",TOR,@BAL,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-29&team=Blue Jays&dh=0"">2016-08-29</a>",TOR,@BAL,2,3B,1,3,4,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-28&team=Blue Jays&dh=0"">2016-08-28</a>",TOR,MIN,2,3B,1,4,5,3,0,0,0,3,3,4,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-08-27&team=Blue Jays&dh=0"">2016-08-27</a>",TOR,MIN,2,3B,1,2,4,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-26&team=Blue Jays&dh=0"">2016-08-26</a>",TOR,MIN,2,3B,1,4,5,2,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-25&team=Blue Jays&dh=0"">2016-08-25</a>",TOR,LAA,2,3B,1,5,5,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-24&team=Blue Jays&dh=0"">2016-08-24</a>",TOR,LAA,2,3B,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2
