Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-01&team=Twins&dh=0"">2016-10-01</a>",MIN,@CHW,1,2B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-30&team=Twins&dh=0"">2016-09-30</a>",MIN,@CHW,1,2B,1,4,4,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-09-28&team=Twins&dh=0"">2016-09-28</a>",MIN,@KCR,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-27&team=Twins&dh=0"">2016-09-27</a>",MIN,@KCR,1,2B,1,5,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0
"<a href=""wins.aspx?date=2016-09-25&team=Twins&dh=0"">2016-09-25</a>",MIN,SEA,1,2B,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-24&team=Twins&dh=0"">2016-09-24</a>",MIN,SEA,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-23&team=Twins&dh=0"">2016-09-23</a>",MIN,SEA,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-22&team=Twins&dh=2"">2016-09-22</a>",MIN,DET,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-22&team=Twins&dh=1"">2016-09-22</a>",MIN,DET,1,2B,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-20&team=Twins&dh=0"">2016-09-20</a>",MIN,DET,1,2B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.333
"<a href=""wins.aspx?date=2016-09-18&team=Twins&dh=0"">2016-09-18</a>",MIN,@NYM,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-17&team=Twins&dh=0"">2016-09-17</a>",MIN,@NYM,1,2B,1,5,6,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-16&team=Twins&dh=0"">2016-09-16</a>",MIN,@NYM,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-15&team=Twins&dh=0"">2016-09-15</a>",MIN,@DET,1,2B,1,3,5,1,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0.333
"<a href=""wins.aspx?date=2016-09-14&team=Twins&dh=0"">2016-09-14</a>",MIN,@DET,1,2B,1,4,4,2,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-13&team=Twins&dh=0"">2016-09-13</a>",MIN,@DET,1,2B,1,4,5,3,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-12&team=Twins&dh=0"">2016-09-12</a>",MIN,@DET,1,2B,1,4,5,1,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-11&team=Twins&dh=0"">2016-09-11</a>",MIN,CLE,1,2B,1,3,4,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-10&team=Twins&dh=0"">2016-09-10</a>",MIN,CLE,1,2B,1,5,6,1,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-09&team=Twins&dh=0"">2016-09-09</a>",MIN,CLE,1,2B,1,4,4,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-07&team=Twins&dh=0"">2016-09-07</a>",MIN,KCR,1,2B,1,5,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0.2
"<a href=""wins.aspx?date=2016-09-06&team=Twins&dh=0"">2016-09-06</a>",MIN,KCR,1,2B,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-05&team=Twins&dh=0"">2016-09-05</a>",MIN,KCR,1,2B,1,5,5,3,0,0,0,3,3,4,0,0,2,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-04&team=Twins&dh=0"">2016-09-04</a>",MIN,CHW,1,2B,1,6,7,3,1,1,0,1,1,2,1,1,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-03&team=Twins&dh=0"">2016-09-03</a>",MIN,CHW,1,2B,1,4,4,2,1,0,0,1,2,1,0,0,1,0,0,0,0,2,0,0.5
"<a href=""wins.aspx?date=2016-09-02&team=Twins&dh=0"">2016-09-02</a>",MIN,CHW,1,2B,1,4,4,2,1,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-01&team=Twins&dh=0"">2016-09-01</a>",MIN,CHW,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-31&team=Twins&dh=0"">2016-08-31</a>",MIN,@CLE,1,2B,1,4,5,1,0,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-30&team=Twins&dh=0"">2016-08-30</a>",MIN,@CLE,1,2B,1,4,5,1,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0.25
