Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=White Sox&dh=0"">2016-10-02</a>",CHW,MIN,1,RF,1,4,5,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-10-01&team=White Sox&dh=0"">2016-10-01</a>",CHW,MIN,1,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-30&team=White Sox&dh=0"">2016-09-30</a>",CHW,MIN,1,RF,1,4,5,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-29&team=White Sox&dh=0"">2016-09-29</a>",CHW,TBR,1,RF,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-09-28&team=White Sox&dh=0"">2016-09-28</a>",CHW,TBR,6,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-27&team=White Sox&dh=0"">2016-09-27</a>",CHW,TBR,1,RF,1,5,5,2,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0.4
"<a href=""wins.aspx?date=2016-09-23&team=White Sox&dh=0"">2016-09-23</a>",CHW,@CLE,1,CF,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-21&team=White Sox&dh=0"">2016-09-21</a>",CHW,@PHI,1,RF,1,4,4,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-20&team=White Sox&dh=0"">2016-09-20</a>",CHW,@PHI,1,RF,1,5,5,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0.2
"<a href=""wins.aspx?date=2016-09-19&team=White Sox&dh=0"">2016-09-19</a>",CHW,@KCR,1,CF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-18&team=White Sox&dh=0"">2016-09-18</a>",CHW,@KCR,2,RF,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-17&team=White Sox&dh=0"">2016-09-17</a>",CHW,@KCR,1,CF-RF,1,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-16&team=White Sox&dh=0"">2016-09-16</a>",CHW,@KCR,1,RF,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-15&team=White Sox&dh=0"">2016-09-15</a>",CHW,CLE,1,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-14&team=White Sox&dh=0"">2016-09-14</a>",CHW,CLE,1,CF,1,4,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-13&team=White Sox&dh=0"">2016-09-13</a>",CHW,CLE,1,CF-RF,1,4,5,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-12&team=White Sox&dh=0"">2016-09-12</a>",CHW,CLE,1,CF,1,4,5,2,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-11&team=White Sox&dh=0"">2016-09-11</a>",CHW,KCR,1,CF,1,4,4,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-10&team=White Sox&dh=0"">2016-09-10</a>",CHW,KCR,1,CF,1,5,5,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-09&team=White Sox&dh=0"">2016-09-09</a>",CHW,KCR,1,CF,1,4,5,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-07&team=White Sox&dh=0"">2016-09-07</a>",CHW,DET,1,CF,1,4,5,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-05&team=White Sox&dh=0"">2016-09-05</a>",CHW,DET,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-04&team=White Sox&dh=0"">2016-09-04</a>",CHW,@MIN,1,CF,1,7,7,1,1,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0.143
"<a href=""wins.aspx?date=2016-09-03&team=White Sox&dh=0"">2016-09-03</a>",CHW,@MIN,1,CF,1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-02&team=White Sox&dh=0"">2016-09-02</a>",CHW,@MIN,1,CF,1,5,6,4,3,1,0,0,4,1,1,1,1,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-09-01&team=White Sox&dh=0"">2016-09-01</a>",CHW,@MIN,1,CF,1,4,5,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-31&team=White Sox&dh=0"">2016-08-31</a>",CHW,@DET,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-30&team=White Sox&dh=0"">2016-08-30</a>",CHW,@DET,1,CF-RF,1,3,5,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-08-29&team=White Sox&dh=0"">2016-08-29</a>",CHW,@DET,1,CF,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-28&team=White Sox&dh=0"">2016-08-28</a>",CHW,SEA,1,CF,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-27&team=White Sox&dh=0"">2016-08-27</a>",CHW,SEA,1,CF,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-26&team=White Sox&dh=0"">2016-08-26</a>",CHW,SEA,1,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-25&team=White Sox&dh=0"">2016-08-25</a>",CHW,SEA,1,RF,1,4,5,2,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-24&team=White Sox&dh=0"">2016-08-24</a>",CHW,PHI,1,CF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-23&team=White Sox&dh=0"">2016-08-23</a>",CHW,PHI,1,CF,1,5,5,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-21&team=White Sox&dh=0"">2016-08-21</a>",CHW,OAK,1,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-20&team=White Sox&dh=0"">2016-08-20</a>",CHW,OAK,2,CF,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-19&team=White Sox&dh=0"">2016-08-19</a>",CHW,OAK,1,CF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-18&team=White Sox&dh=0"">2016-08-18</a>",CHW,@CLE,1,RF-CF,1,3,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-17&team=White Sox&dh=0"">2016-08-17</a>",CHW,@CLE,1,RF,1,5,5,2,0,1,0,1,1,4,0,0,2,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-08-16&team=White Sox&dh=0"">2016-08-16</a>",CHW,@CLE,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-14&team=White Sox&dh=0"">2016-08-14</a>",CHW,@MIA,1,RF,1,5,5,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-08-13&team=White Sox&dh=0"">2016-08-13</a>",CHW,@MIA,1,CF-RF,1,2,5,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-12&team=White Sox&dh=0"">2016-08-12</a>",CHW,@MIA,1,RF,1,5,5,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-08-11&team=White Sox&dh=0"">2016-08-11</a>",CHW,@KCR,1,CF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-10&team=White Sox&dh=0"">2016-08-10</a>",CHW,@KCR,3,RF,1,6,6,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-09&team=White Sox&dh=0"">2016-08-09</a>",CHW,@KCR,3,RF,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-07&team=White Sox&dh=0"">2016-08-07</a>",CHW,BAL,3,RF,1,3,4,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-06&team=White Sox&dh=0"">2016-08-06</a>",CHW,BAL,3,CF,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-05&team=White Sox&dh=0"">2016-08-05</a>",CHW,BAL,1,CF,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-04&team=White Sox&dh=0"">2016-08-04</a>",CHW,@DET,3,CF,1,4,5,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.5
"<a href=""wins.aspx?date=2016-08-03&team=White Sox&dh=0"">2016-08-03</a>",CHW,@DET,1,CF,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-02&team=White Sox&dh=0"">2016-08-02</a>",CHW,@DET,1,RF-CF,1,2,5,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-07-31&team=White Sox&dh=0"">2016-07-31</a>",CHW,@MIN,1,CF,1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-30&team=White Sox&dh=0"">2016-07-30</a>",CHW,@MIN,5,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-29&team=White Sox&dh=0"">2016-07-29</a>",CHW,@MIN,1,RF,1,4,5,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-28&team=White Sox&dh=0"">2016-07-28</a>",CHW,@CHC,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-27&team=White Sox&dh=0"">2016-07-27</a>",CHW,@CHC,1,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-26&team=White Sox&dh=0"">2016-07-26</a>",CHW,CHC,1,RF,1,3,4,1,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-25&team=White Sox&dh=0"">2016-07-25</a>",CHW,CHC,1,RF,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-24&team=White Sox&dh=0"">2016-07-24</a>",CHW,DET,1,RF,1,3,5,2,1,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-07-23&team=White Sox&dh=0"">2016-07-23</a>",CHW,DET,1,RF,1,4,5,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-07-22&team=White Sox&dh=0"">2016-07-22</a>",CHW,DET,1,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-21&team=White Sox&dh=0"">2016-07-21</a>",CHW,DET,1,RF,1,3,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-07-20&team=White Sox&dh=0"">2016-07-20</a>",CHW,@SEA,1,RF,1,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167
"<a href=""wins.aspx?date=2016-07-19&team=White Sox&dh=0"">2016-07-19</a>",CHW,@SEA,1,RF,1,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-18&team=White Sox&dh=0"">2016-07-18</a>",CHW,@SEA,1,RF,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-17&team=White Sox&dh=0"">2016-07-17</a>",CHW,@LAA,2,RF,1,3,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-07-16&team=White Sox&dh=0"">2016-07-16</a>",CHW,@LAA,2,RF,1,4,4,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-07-15&team=White Sox&dh=0"">2016-07-15</a>",CHW,@LAA,2,RF,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-10&team=White Sox&dh=0"">2016-07-10</a>",CHW,ATL,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-09&team=White Sox&dh=0"">2016-07-09</a>",CHW,ATL,2,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-08&team=White Sox&dh=0"">2016-07-08</a>",CHW,ATL,2,RF,1,4,5,2,1,0,0,1,2,2,1,0,1,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-07-06&team=White Sox&dh=0"">2016-07-06</a>",CHW,NYY,2,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-07-05&team=White Sox&dh=0"">2016-07-05</a>",CHW,NYY,2,RF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-07-04&team=White Sox&dh=0"">2016-07-04</a>",CHW,NYY,2,CF,1,5,5,2,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-07-03&team=White Sox&dh=0"">2016-07-03</a>",CHW,@HOU,2,RF,1,5,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-07-02&team=White Sox&dh=0"">2016-07-02</a>",CHW,@HOU,2,RF,1,4,5,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.5
