Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Braves&dh=0"">2016-10-02</a>",ATL,DET,3,1B,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-10-01&team=Braves&dh=0"">2016-10-01</a>",ATL,DET,3,1B,1,4,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-30&team=Braves&dh=0"">2016-09-30</a>",ATL,DET,3,1B,1,3,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-29&team=Braves&dh=0"">2016-09-29</a>",ATL,PHI,3,1B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-28&team=Braves&dh=0"">2016-09-28</a>",ATL,PHI,3,1B,1,2,4,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-27&team=Braves&dh=0"">2016-09-27</a>",ATL,PHI,3,1B,1,3,4,2,1,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-24&team=Braves&dh=0"">2016-09-24</a>",ATL,@MIA,3,1B,1,3,4,2,1,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-23&team=Braves&dh=0"">2016-09-23</a>",ATL,@MIA,3,1B,1,3,5,1,0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-22&team=Braves&dh=0"">2016-09-22</a>",ATL,@MIA,3,1B,1,3,4,1,1,0,0,0,1,2,1,0,2,0,0,0,0,0,1,0.333
"<a href=""wins.aspx?date=2016-09-21&team=Braves&dh=0"">2016-09-21</a>",ATL,@NYM,3,1B,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-09-20&team=Braves&dh=0"">2016-09-20</a>",ATL,@NYM,3,1B,1,4,5,1,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0.25
"<a href=""wins.aspx?date=2016-09-19&team=Braves&dh=0"">2016-09-19</a>",ATL,@NYM,3,1B,1,5,5,4,2,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-09-18&team=Braves&dh=0"">2016-09-18</a>",ATL,WSN,3,1B,1,3,4,2,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-17&team=Braves&dh=0"">2016-09-17</a>",ATL,WSN,3,1B,1,4,4,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-14&team=Braves&dh=0"">2016-09-14</a>",ATL,MIA,3,1B,1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-13&team=Braves&dh=0"">2016-09-13</a>",ATL,MIA,3,1B,1,4,5,1,0,0,0,1,1,3,0,0,1,0,1,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-09-12&team=Braves&dh=0"">2016-09-12</a>",ATL,MIA,3,1B,1,4,5,3,2,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0.75
