Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Tigers&dh=0"">2016-10-02</a>",DET,@ATL,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-10-01&team=Tigers&dh=0"">2016-10-01</a>",DET,@ATL,1,2B,1,3,4,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-30&team=Tigers&dh=0"">2016-09-30</a>",DET,@ATL,1,2B,1,5,5,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-28&team=Tigers&dh=0"">2016-09-28</a>",DET,CLE,1,2B,1,3,3,1,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-27&team=Tigers&dh=0"">2016-09-27</a>",DET,CLE,1,2B,1,3,4,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-26&team=Tigers&dh=0"">2016-09-26</a>",DET,CLE,1,2B,1,5,5,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-25&team=Tigers&dh=0"">2016-09-25</a>",DET,KCR,1,2B,1,6,6,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-24&team=Tigers&dh=0"">2016-09-24</a>",DET,KCR,1,2B,1,4,5,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-23&team=Tigers&dh=0"">2016-09-23</a>",DET,KCR,1,2B,1,3,5,2,1,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-18&team=Tigers&dh=0"">2016-09-18</a>",DET,@CLE,1,2B,1,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-17&team=Tigers&dh=0"">2016-09-17</a>",DET,@CLE,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-16&team=Tigers&dh=0"">2016-09-16</a>",DET,@CLE,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-15&team=Tigers&dh=0"">2016-09-15</a>",DET,MIN,1,2B,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
