Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Orioles&dh=0"">2016-10-02</a>",BAL,@NYY,3,3B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-10-01&team=Orioles&dh=0"">2016-10-01</a>",BAL,@NYY,3,3B,1,3,4,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-30&team=Orioles&dh=0"">2016-09-30</a>",BAL,@NYY,3,3B,1,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-29&team=Orioles&dh=0"">2016-09-29</a>",BAL,@TOR,3,3B,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-28&team=Orioles&dh=0"">2016-09-28</a>",BAL,@TOR,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-27&team=Orioles&dh=0"">2016-09-27</a>",BAL,@TOR,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-25&team=Orioles&dh=0"">2016-09-25</a>",BAL,ARI,3,3B,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-09-24&team=Orioles&dh=0"">2016-09-24</a>",BAL,ARI,3,3B,1,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-23&team=Orioles&dh=0"">2016-09-23</a>",BAL,ARI,3,3B,1,5,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-22&team=Orioles&dh=0"">2016-09-22</a>",BAL,BOS,3,3B,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-21&team=Orioles&dh=0"">2016-09-21</a>",BAL,BOS,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-20&team=Orioles&dh=0"">2016-09-20</a>",BAL,BOS,3,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-19&team=Orioles&dh=0"">2016-09-19</a>",BAL,BOS,3,3B,1,3,4,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-18&team=Orioles&dh=0"">2016-09-18</a>",BAL,TBR,3,3B,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-17&team=Orioles&dh=0"">2016-09-17</a>",BAL,TBR,3,3B,1,3,4,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-16&team=Orioles&dh=0"">2016-09-16</a>",BAL,TBR,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-15&team=Orioles&dh=0"">2016-09-15</a>",BAL,TBR,3,3B,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-14&team=Orioles&dh=0"">2016-09-14</a>",BAL,@BOS,3,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-13&team=Orioles&dh=0"">2016-09-13</a>",BAL,@BOS,3,3B,1,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-12&team=Orioles&dh=0"">2016-09-12</a>",BAL,@BOS,3,3B,1,4,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-09-11&team=Orioles&dh=0"">2016-09-11</a>",BAL,@DET,3,3B,1,4,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-10&team=Orioles&dh=0"">2016-09-10</a>",BAL,@DET,3,3B,1,3,5,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-09&team=Orioles&dh=0"">2016-09-09</a>",BAL,@DET,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-07&team=Orioles&dh=0"">2016-09-07</a>",BAL,@TBR,3,3B,1,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-06&team=Orioles&dh=0"">2016-09-06</a>",BAL,@TBR,3,3B,1,6,6,3,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-05&team=Orioles&dh=0"">2016-09-05</a>",BAL,@TBR,3,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-04&team=Orioles&dh=0"">2016-09-04</a>",BAL,NYY,3,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-03&team=Orioles&dh=0"">2016-09-03</a>",BAL,NYY,3,3B,1,4,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-02&team=Orioles&dh=0"">2016-09-02</a>",BAL,NYY,3,3B,1,2,4,1,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0.5
