Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Indians&dh=0"">2016-10-02</a>",CLE,@KCR,5,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-10-01&team=Indians&dh=0"">2016-10-01</a>",CLE,@KCR,5,3B,1,4,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-30&team=Indians&dh=0"">2016-09-30</a>",CLE,@KCR,5,3B,1,4,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-28&team=Indians&dh=0"">2016-09-28</a>",CLE,@DET,5,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-26&team=Indians&dh=0"">2016-09-26</a>",CLE,@DET,5,3B,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-25&team=Indians&dh=0"">2016-09-25</a>",CLE,CHW,3,3B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-24&team=Indians&dh=0"">2016-09-24</a>",CLE,CHW,6,3B,1,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-23&team=Indians&dh=0"">2016-09-23</a>",CLE,CHW,5,3B,1,5,5,2,0,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-22&team=Indians&dh=0"">2016-09-22</a>",CLE,KCR,6,3B,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-21&team=Indians&dh=0"">2016-09-21</a>",CLE,KCR,5,3B,1,3,4,3,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1
"<a href=""wins.aspx?date=2016-09-20&team=Indians&dh=0"">2016-09-20</a>",CLE,KCR,5,3B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.333
"<a href=""wins.aspx?date=2016-09-18&team=Indians&dh=0"">2016-09-18</a>",CLE,DET,6,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-17&team=Indians&dh=0"">2016-09-17</a>",CLE,DET,5,3B,1,4,5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-16&team=Indians&dh=0"">2016-09-16</a>",CLE,DET,5,3B,1,3,5,1,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0.333
"<a href=""wins.aspx?date=2016-09-15&team=Indians&dh=0"">2016-09-15</a>",CLE,@CHW,3,3B,1,3,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-14&team=Indians&dh=0"">2016-09-14</a>",CLE,@CHW,6,3B,1,4,4,2,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-13&team=Indians&dh=0"">2016-09-13</a>",CLE,@CHW,6,3B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-09-12&team=Indians&dh=0"">2016-09-12</a>",CLE,@CHW,5,3B,1,4,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-11&team=Indians&dh=0"">2016-09-11</a>",CLE,@MIN,2,3B,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-10&team=Indians&dh=0"">2016-09-10</a>",CLE,@MIN,6,3B,1,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-09&team=Indians&dh=0"">2016-09-09</a>",CLE,@MIN,5,3B,1,5,5,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-08&team=Indians&dh=0"">2016-09-08</a>",CLE,HOU,5,3B,1,3,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-07&team=Indians&dh=0"">2016-09-07</a>",CLE,HOU,5,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-06&team=Indians&dh=0"">2016-09-06</a>",CLE,HOU,5,3B,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-05&team=Indians&dh=0"">2016-09-05</a>",CLE,HOU,5,3B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-04&team=Indians&dh=0"">2016-09-04</a>",CLE,MIA,5,3B,1,5,5,4,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0.8
"<a href=""wins.aspx?date=2016-09-03&team=Indians&dh=0"">2016-09-03</a>",CLE,MIA,5,3B,1,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-02&team=Indians&dh=0"">2016-09-02</a>",CLE,MIA,5,3B,1,4,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-31&team=Indians&dh=0"">2016-08-31</a>",CLE,MIN,6,3B,1,3,4,2,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-08-30&team=Indians&dh=0"">2016-08-30</a>",CLE,MIN,6,3B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-29&team=Indians&dh=0"">2016-08-29</a>",CLE,MIN,6,3B,1,3,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.333
"<a href=""wins.aspx?date=2016-08-28&team=Indians&dh=0"">2016-08-28</a>",CLE,@TEX,6,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"<a href=""wins.aspx?date=2016-08-27&team=Indians&dh=0"">2016-08-27</a>",CLE,@TEX,5,3B,1,4,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-08-26&team=Indians&dh=0"">2016-08-26</a>",CLE,@TEX,6,3B,1,5,5,2,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.4
"<a href=""wins.aspx?date=2016-08-25&team=Indians&dh=0"">2016-08-25</a>",CLE,@TEX,6,3B,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-24&team=Indians&dh=0"">2016-08-24</a>",CLE,@OAK,3,3B,1,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-08-23&team=Indians&dh=0"">2016-08-23</a>",CLE,@OAK,6,3B,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-22&team=Indians&dh=0"">2016-08-22</a>",CLE,@OAK,5,3B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-21&team=Indians&dh=0"">2016-08-21</a>",CLE,TOR,4,3B,1,4,4,1,0,0,0,1,1,2,0,0,2,0,0,0,1,0,0,0.25
"<a href=""wins.aspx?date=2016-08-20&team=Indians&dh=0"">2016-08-20</a>",CLE,TOR,5,3B,1,4,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-19&team=Indians&dh=0"">2016-08-19</a>",CLE,TOR,6,3B,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-18&team=Indians&dh=0"">2016-08-18</a>",CLE,CHW,6,3B,1,4,4,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-08-17&team=Indians&dh=0"">2016-08-17</a>",CLE,CHW,5,3B,1,4,5,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-16&team=Indians&dh=0"">2016-08-16</a>",CLE,CHW,6,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25
"<a href=""wins.aspx?date=2016-08-15&team=Indians&dh=0"">2016-08-15</a>",CLE,BOS,2,3B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"<a href=""wins.aspx?date=2016-08-14&team=Indians&dh=0"">2016-08-14</a>",CLE,LAA,5,3B,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-08-13&team=Indians&dh=0"">2016-08-13</a>",CLE,LAA,5,3B,1,4,4,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-08-12&team=Indians&dh=0"">2016-08-12</a>",CLE,LAA,5,3B,1,5,5,3,1,1,0,1,4,2,0,0,1,0,0,0,0,3,0,0.6
