Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Diamondbacks&dh=0"">2016-10-02</a>",ARI,SDP,1,2B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
"<a href=""wins.aspx?date=2016-10-01&team=Diamondbacks&dh=0"">2016-10-01</a>",ARI,SDP,1,2B,1,3,4,2,0,1,1,0,3,0,1,0,0,0,0,0,0,1,0,0.667
"<a href=""wins.aspx?date=2016-09-30&team=Diamondbacks&dh=0"">2016-09-30</a>",ARI,SDP,1,2B,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-29&team=Diamondbacks&dh=0"">2016-09-29</a>",ARI,@WSN,1,2B,1,2,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.5
"<a href=""wins.aspx?date=2016-09-28&team=Diamondbacks&dh=0"">2016-09-28</a>",ARI,@WSN,1,2B,1,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
"<a href=""wins.aspx?date=2016-09-27&team=Diamondbacks&dh=0"">2016-09-27</a>",ARI,@WSN,1,2B,1,4,4,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-26&team=Diamondbacks&dh=0"">2016-09-26</a>",ARI,@WSN,1,2B,1,5,5,3,1,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-25&team=Diamondbacks&dh=0"">2016-09-25</a>",ARI,@BAL,1,2B,1,3,4,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-09-24&team=Diamondbacks&dh=0"">2016-09-24</a>",ARI,@BAL,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-23&team=Diamondbacks&dh=0"">2016-09-23</a>",ARI,@BAL,1,2B,1,5,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-21&team=Diamondbacks&dh=0"">2016-09-21</a>",ARI,@SDP,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-20&team=Diamondbacks&dh=0"">2016-09-20</a>",ARI,@SDP,1,2B,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-19&team=Diamondbacks&dh=0"">2016-09-19</a>",ARI,@SDP,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-18&team=Diamondbacks&dh=0"">2016-09-18</a>",ARI,LAD,1,2B,1,6,7,3,2,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-17&team=Diamondbacks&dh=0"">2016-09-17</a>",ARI,LAD,1,2B,1,4,4,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-16&team=Diamondbacks&dh=0"">2016-09-16</a>",ARI,LAD,1,2B,1,5,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4
"<a href=""wins.aspx?date=2016-09-15&team=Diamondbacks&dh=0"">2016-09-15</a>",ARI,LAD,1,2B,1,3,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-14&team=Diamondbacks&dh=0"">2016-09-14</a>",ARI,COL,1,2B,1,6,6,5,3,0,0,2,3,3,0,0,1,0,0,0,0,0,0,0.833
"<a href=""wins.aspx?date=2016-09-13&team=Diamondbacks&dh=0"">2016-09-13</a>",ARI,COL,1,2B,1,5,5,3,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0.6
"<a href=""wins.aspx?date=2016-09-12&team=Diamondbacks&dh=0"">2016-09-12</a>",ARI,COL,1,SS-2B,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"<a href=""wins.aspx?date=2016-09-11&team=Diamondbacks&dh=0"">2016-09-11</a>",ARI,SFG,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-10&team=Diamondbacks&dh=0"">2016-09-10</a>",ARI,SFG,1,2B,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-09&team=Diamondbacks&dh=0"">2016-09-09</a>",ARI,SFG,1,2B,1,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-07&team=Diamondbacks&dh=0"">2016-09-07</a>",ARI,@LAD,1,2B,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-06&team=Diamondbacks&dh=0"">2016-09-06</a>",ARI,@LAD,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-05&team=Diamondbacks&dh=0"">2016-09-05</a>",ARI,@LAD,1,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-04&team=Diamondbacks&dh=0"">2016-09-04</a>",ARI,@COL,1,2B,1,4,5,3,2,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0.75
"<a href=""wins.aspx?date=2016-09-02&team=Diamondbacks&dh=0"">2016-09-02</a>",ARI,@COL,1,2B,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-31&team=Diamondbacks&dh=0"">2016-08-31</a>",ARI,@SFG,1,2B,1,5,5,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6
"<a href=""wins.aspx?date=2016-08-30&team=Diamondbacks&dh=0"">2016-08-30</a>",ARI,@SFG,1,2B,1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-08-27&team=Diamondbacks&dh=0"">2016-08-27</a>",ARI,CIN,1,2B,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-26&team=Diamondbacks&dh=0"">2016-08-26</a>",ARI,CIN,1,2B,1,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-08-25&team=Diamondbacks&dh=0"">2016-08-25</a>",ARI,ATL,1,2B,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-08-24&team=Diamondbacks&dh=0"">2016-08-24</a>",ARI,ATL,1,2B,1,6,6,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.167
