Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
"<a href=""wins.aspx?date=2016-10-02&team=Dodgers&dh=0"">2016-10-02</a>",LAD,@SFG,2,3B,1,3,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333
"<a href=""wins.aspx?date=2016-10-01&team=Dodgers&dh=0"">2016-10-01</a>",LAD,@SFG,2,3B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-30&team=Dodgers&dh=0"">2016-09-30</a>",LAD,@SFG,2,3B,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-29&team=Dodgers&dh=0"">2016-09-29</a>",LAD,@SDP,3,3B,1,4,4,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.75
"<a href=""wins.aspx?date=2016-09-27&team=Dodgers&dh=0"">2016-09-27</a>",LAD,@SDP,3,3B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-25&team=Dodgers&dh=0"">2016-09-25</a>",LAD,COL,2,3B,1,4,5,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.5
"<a href=""wins.aspx?date=2016-09-24&team=Dodgers&dh=0"">2016-09-24</a>",LAD,COL,3,3B,1,3,5,3,3,0,0,0,2,2,2,0,0,0,0,0,0,1,0,1
"<a href=""wins.aspx?date=2016-09-23&team=Dodgers&dh=0"">2016-09-23</a>",LAD,COL,3,3B,1,3,4,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.667
"<a href=""wins.aspx?date=2016-09-22&team=Dodgers&dh=0"">2016-09-22</a>",LAD,COL,1,PH-3B,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-21&team=Dodgers&dh=0"">2016-09-21</a>",LAD,SFG,3,3B,1,2,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-20&team=Dodgers&dh=0"">2016-09-20</a>",LAD,SFG,3,3B,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"<a href=""wins.aspx?date=2016-09-19&team=Dodgers&dh=0"">2016-09-19</a>",LAD,SFG,4,3B,1,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.25
"<a href=""wins.aspx?date=2016-09-18&team=Dodgers&dh=0"">2016-09-18</a>",LAD,@ARI,2,3B,1,5,5,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0.2
"<a href=""wins.aspx?date=2016-09-17&team=Dodgers&dh=0"">2016-09-17</a>",LAD,@ARI,3,3B,1,4,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"<a href=""wins.aspx?date=2016-09-16&team=Dodgers&dh=0"">2016-09-16</a>",LAD,@ARI,3,3B,1,4,4,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.25
