Team,Park,Basic_PF,Elevation_ft,League
Angels,LAA,95,146,American
Orioles,BAL,102,36,American
Red Sox,BOS,105,16,American
White Sox,CHW,101,595,American
Indians,CLE,102,653,American
Tigers,DET,101,578,American
Royals,KCR,103,857,American
Twins,MIN,102,827,American
Yankees,NYY,101,23,American
Athletics,OAK,96,0,American
Mariners,SEA,96,17,American
Rays,TBR,97,44,American
Rangers,TEX,104,543,American
Blue Jays,TOR,102,268,American
Dbacks,ARI,105,1061,National
Braves,ATL,99,942,National
Cubs,CHC,99,601,National
Reds,CIN,101,490,National
Rockies,COL,118,5186,National
Marlins,MIA,98,5,National
Astros,HOU,98,21,American
Dodgers,LAD,95,501,National
Brewers,MIL,103,618,National
Nationals,WSN,100,6,National
Mets,NYM,95,12,National
Phillies,PHI,99,0,National
Pirates,PIT,96,726,National
Cardinals,STL,98,438,National
Padres,SDP,96,15,National
Giants,SFG,95,8,National
