Name,Park,Basic_PF,1B_PF,2B_PF,3B_PF,HR_PF,SO_PF,BB_PF,GB_PF,FB_PF,LD_PF,IFFB_PF,FIP_PF,Elevation_ft,League
Angels,LAA,95,100,96,91,93,102,97,100,99,97,97,97,146,American
Orioles,BAL,102,101,99,86,108,99,100,100,101,101,99,103,36,American
Red Sox,BOS,105,103,114,105,96,100,100,101,97,105,102,99,16,American
White Sox,CHW,101,99,97,91,108,103,107,98,102,99,104,103,595,American
Indians,CLE,102,100,103,81,101,101,99,101,97,101,95,101,653,American
Tigers,DET,101,101,98,126,98,95,99,101,103,98,102,101,578,American
Royals,KCR,103,101,103,114,93,96,99,102,101,101,96,99,857,American
Twins,MIN,102,102,101,106,98,98,99,101,99,103,101,101,827,American
Yankees,NYY,101,100,97,84,110,101,101,99,102,99,102,104,23,American
Athletics,OAK,96,99,100,105,93,97,101,99,102,100,108,98,0,American
Mariners,SEA,96,98,97,85,98,102,97,97,102,98,106,98,17,American
Rays,TBR,97,99,95,98,96,102,100,98,101,98,108,97,44,American
Rangers,TEX,104,103,101,110,105,98,102,101,101,103,96,101,543,American
Blue Jays,TOR,102,97,108,105,106,102,99,99,101,101,99,101,268,American
Diamondbacks,ARI,105,99,105,120,102,100,99,100,99,99,96,101,1061,National
Braves,ATL,99,100,99,93,96,103,101,99,100,101,97,97,942,National
Cubs,CHC,99,99,99,102,102,101,102,100,100,99,99,100,601,National
Reds,CIN,101,99,98,92,113,103,101,99,100,99,101,103,490,National
Rockies,COL,118,110,108,128,113,95,102,106,99,109,94,108,5186,National
Marlins,MIA,98,101,100,117,88,98,101,100,100,100,97,97,5,National
Astros,HOU,98,99,100,108,105,103,101,100,99,98,100,99,21,American
Dodgers,LAD,95,98,98,78,102,100,96,99,100,97,106,98,501,National
Brewers,MIL,103,99,100,102,112,101,102,99,101,102,96,104,618,National
Nationals,WSN,100,104,102,84,97,97,98,100,101,101,99,99,6,National
Mets,NYM,95,96,95,87,101,101,100,97,101,98,108,100,12,National
Phillies,PHI,99,98,99,92,107,103,102,99,101,97,104,102,0,National
Pirates,PIT,96,101,99,89,90,96,96,102,98,101,97,97,726,National
Cardinals,STL,98,100,99,95,94,98,99,100,101,100,101,99,438,National
Padres,SDP,96,98,95,97,98,102,101,100,98,99,95,99,15,National
Giants,SFG,95,99,97,115,84,100,100,101,95,98,96,95,8,National
